title,types,score,drector,writer,actor,account,country,label,flim_version
这个杀手不太冷,"剧情, 动作, 犯罪",9.4,吕克·贝松 Luc Besson,吕克·贝松 Luc Besson,"让·雷诺, 娜塔莉·波特曼, 加里·奥德曼, 丹尼·爱罗, 彼得·阿佩尔, 迈克尔·巴达鲁科, 艾伦·格里尼, 伊丽莎白·瑞根, 卡尔·马图斯维奇, 弗兰克·赛格, 麦温, 乔治·马丁, 罗伯特·拉萨多, 亚当·布斯奇, 马里奥·托迪斯科, 萨米·纳塞利",1088567,法国,1023.25298,2
七武士,"动作, 冒险, 剧情",9.2,黑泽明 Akira Kurosawa,"黑泽明 Akira Kurosawa, 小国英雄 Hideo Oguni, 桥本忍 Shinobu Hashimoto","三船敏郎, 志村乔, 稻叶义男, 宫口精二, 千秋实, 加东大介, 木村功",91163,日本,83.86996,6
蝙蝠侠：黑暗骑士,"剧情, 动作, 科幻, 犯罪, 惊悚",9.1,克里斯托弗·诺兰 Christopher Nolan,"乔纳森·诺兰 Jonathan Nolan, 克里斯托弗·诺兰 Christopher Nolan, 大卫·S·高耶 David S. Goyer","克里斯蒂安·贝尔, 希斯·莱杰, 艾伦·艾克哈特, 迈克尔·凯恩, 玛吉·吉伦哈尔, 加里·奥德曼, 摩根·弗里曼, 莫尼克·加布里埃拉·库尔内, 罗恩·迪恩, 基里安·墨菲, 黄经汉, 内斯特·卡博内尔, 埃里克·罗伯茨, 里特奇·科斯特, 安东尼·迈克尔·豪尔, 基斯·斯扎拉巴基克, 柯林·麦克法兰, 约书亚·哈尔托, 美琳达·麦格劳, 内森·甘宝, 迈克尔·维约, 迈克尔·斯托扬诺夫, 威廉·斯米利, 丹尼·高德林, 迈克尔·加·怀特, 马修·奥尼尔, 威廉·菲德内尔, 欧鲁米基·欧拉乌米, 格雷格·比姆, 爱利克·赫尔曼, 毕崔斯·罗森, 文森佐·尼克力, 陈冠希",423487,"美国, 英国",385.37317,1
指环王3：王者无敌,"剧情, 动作, 奇幻, 冒险",9.1,彼得·杰克逊 Peter Jackson,"弗兰·威尔士 Fran Walsh, Philippa Boyens, 彼得·杰克逊 Peter Jackson, 托尔金 J.R.R. Tolkien","维果·莫腾森, 伊莱贾·伍德, 西恩·奥斯汀, 丽芙·泰勒, 伊恩·麦克莱恩, 奥兰多·布鲁姆, 凯特·布兰切特, 米兰达·奥图, 安迪·瑟金斯, 雨果·维文, 多米尼克·莫纳汉, 比利·博伊德, 马尔顿·索克斯, 卡尔·厄本, 克里斯托弗·李, 约翰·瑞斯-戴维斯",350209,"美国, 新西兰",318.69019,3
搏击俱乐部,"剧情, 动作, 悬疑, 惊悚",9,大卫·芬奇 David Fincher,"恰克·帕拉尼克 Chuck Palahniuk, Jim Uhls","爱德华·诺顿, 布拉德·皮特, 海伦娜·伯翰·卡特, 扎克·格雷尼尔, 米特·洛夫, 杰瑞德·莱托, 艾恩·贝利, 里奇蒙德·阿奎特 , 乔治·马奎尔",465674,"美国, 德国",419.1066,1
指环王2：双塔奇兵,"剧情, 动作, 奇幻, 冒险",9,彼得·杰克逊 Peter Jackson,"弗兰·威尔士 Fran Walsh, Philippa Boyens, Stephen Sinclair, 彼得·杰克逊 Peter Jackson, 托尔金 J.R.R. Tolkien","伊莱贾·伍德, 西恩·奥斯汀, 伊恩·麦克莱恩, 维果·莫腾森, 奥兰多·布鲁姆, 克里斯托弗·李, 丽芙·泰勒, 安迪·瑟金斯, 雨果·维文, 卡尔·厄本, 凯特·布兰切特, 多米尼克·莫纳汉, 大卫·文翰, 比利·博伊德, 布拉德·道里夫, 伯纳德·希尔, 约翰·瑞斯-戴维斯, 米兰达·奥图",328492,"美国, 新西兰",295.6428,3
将军号,"剧情, 喜剧, 动作, 战争, 冒险",9,"巴斯特·基顿 Buster Keaton, 克莱德·布鲁克曼 Clyde Bruckman","巴斯特·基顿 Buster Keaton, 克莱德·布鲁克曼 Clyde Bruckman","巴斯特·基顿, 玛丽昂·马克, 格伦·卡文德, 吉姆·法利, 弗雷德里克·弗鲁姆, 查尔斯·亨利·史密斯, 弗兰克·巴恩斯, 乔·基顿, 麦克·多林, 汤姆·纳恩",9433,美国,8.4897,5
指环王1：魔戒再现,"剧情, 动作, 奇幻, 冒险",8.9,彼得·杰克逊 Peter Jackson,"弗兰·威尔士 Fran Walsh, Philippa Boyens, 彼得·杰克逊 Peter Jackson, 托尔金 J.R.R. Tolkien","伊莱贾·伍德, 西恩·奥斯汀, 伊恩·麦克莱恩, 维果·莫腾森, 奥兰多·布鲁姆, 凯特·布兰切特, 肖恩·宾, 克里斯托弗·李, 雨果·维文, 丽芙·泰勒, 安迪·瑟金斯, 伊安·霍姆, 多米尼克·莫纳汉, 萨拉·贝克, 约翰·瑞斯-戴维斯",367864,"新西兰, 美国",327.39896,3
黑客帝国,"动作, 科幻",8.9,"安迪·沃卓斯基 Andy Wachowski, 拉娜·沃卓斯基 Lana Wachowski","安迪·沃卓斯基 Andy Wachowski, 拉娜·沃卓斯基 Lana Wachowski","基努·里维斯, 凯瑞-安·莫斯, 劳伦斯·菲什伯恩, 雨果·维文, 格洛丽亚·福斯特, 乔·潘托里亚诺, 马库斯·钟, 朱利安·阿拉汗加, 马特·多兰",345312,"美国, 澳大利亚",307.32768,1
攻壳机动队,"动作, 科幻, 动画",8.9,押井守 Mamoru Oshii,"伊藤和典 Kazunori It?, 士郎正宗 Masamune Shirow","田中敦子, 大塚明夫, 山寺宏一, 大木民夫, 家弓家正, 玄田哲章, 山内雅人, 小川真司",68158,日本,60.66062,1
V字仇杀队,"剧情, 动作, 科幻, 惊悚",8.8,詹姆斯·麦克特格 James McTeigue,"安迪·沃卓斯基 Andy Wachowski, 拉里·沃卓斯基 Lana Wachowski","娜塔莉·波特曼, 雨果·维文, 斯蒂芬·瑞, 斯蒂芬·弗雷, 约翰·赫特, 蒂姆·皮戈特-史密斯, 鲁珀特·格雷夫斯, 罗杰·阿拉姆, 本·迈尔斯, 西妮德·库萨克, 娜塔莎·怀特曼, 约翰·斯坦丁, 埃迪·马森, 克里夫·阿什伯恩, Emma Field-Rayner, 伊安·布尔费尔德, Mark Phoenix, Alister Mazzotti, 比莉·库克, 盖伊·亨利, 科斯马·肖, Megan Gay, Roderic Culver, Tara Hacking, 安迪·莱什利兹, 查德·斯塔赫斯基, 布拉德利·斯蒂夫·福特, Madeleine Rakic-Platt, 塞丽娜·贾尔斯, 卡斯腾·海斯, 伊莫琴·普茨, 劳拉·格林伍德, Kyra Meyer, 玛丽·萧克莱 , 理查德·莱恩, Michael Simkins",519301,"美国, 英国, 德国",456.98488,1
勇敢的心,"动作, 传记, 剧情, 历史, 战争",8.8,梅尔·吉布森 Mel Gibson,兰道尔·华莱士 Randall Wallace,"梅尔·吉布森, 苏菲·玛索, 布莱恩·考克斯, 詹姆斯·卡沙莫, 辛·劳洛, 凯瑟琳·麦克马克, 安古斯·麦克菲登",338992,美国,298.31296,1
乱,"动作, 剧情, 战争",8.8,黑泽明,"黑泽明, 小国英雄, 井手雅人, 威廉·莎士比亚 William Shakespeare","仲代达矢, 寺尾聪, 根津甚八, 隆大介, 野村万斋",39098,"日本, 法国",34.40624,1
黑客帝国动画版,"动作, 剧情, 动画, 科幻",8.8,"钟彼得 Peter Chung, Andy Jones, 川尻善昭 Yoshiaki Kawajiri, 小池健 Takeshi Koike, 前田真宏 Mahiro Maeda, 森本晃司 K?ji Morimoto, 渡边信一郎 Shinichir? Watanabe","安迪·沃卓斯基 Andy Wachowski, 川尻善昭 Yoshiaki Kawajiri, 森本晃司 K?ji Morimoto, 钟彼得 Peter Chung, 拉娜·沃卓斯基 Lana Wachowski","大塚明夫, 克莱顿·华生, 帕梅拉·阿德龙, 海蒂·布雷斯, 特伦斯·卡森, 美琳达·克拉克, 奥利薇亚·阿波, Dane A. Davis, William R. Dean",32939,美国,28.98632,1
用心棒,"动作, 犯罪, 剧情, 惊悚",8.8,黑泽明 Akira Kurosawa,"黑泽明 Akira Kurosawa, 菊岛隆三 Ry?z? Kikushima","三船敏郎, 仲代达矢, 山田五十铃, 志村乔, 东野英治郎, 加东大介",16519,日本,14.53672,2
桥,"动作, 战争",8.8,哈·克尔瓦瓦茨 Hajrudin Krvavac,"Djordje Lebovic, Predrag Golubovic","韦利米尔·巴塔·日沃伊诺维奇, 斯洛博丹·佩罗维奇, 鲍里斯·德沃尔尼克",12770,南斯拉夫,11.2376,1
攻壳机动队SSS,"动作, 科幻, 动画",8.8,神山健治 Kenji Kamiyama,"神山健治 Kenji Kamiyama, 樱井圭记, 士郎正宗 Masamune Shirow, 菅正太郎 Shotaro Suga","田中敦子, 大塚明夫, 阪脩, 仲野裕, 大川透, 小野冢贵志, 山寺宏一, 山口太郎",10279,日本,9.04552,1
让子弹飞,"剧情, 喜剧, 动作, 西部",8.7,姜文 Wen Jiang,"朱苏进 Sujin Zhu, 述平 Ping Shu, 姜文 Wen Jiang, 郭俊立 Junli Guo, 危笑 Xiao Wei, 李不空 Bukong Li, 马识途 Shitu Ma","姜文, 葛优, 周润发, 刘嘉玲, 陈坤, 张默, 姜武, 周韵, 廖凡, 姚橹, 邵兵, 苗圃, 冯小刚, 胡军, 马珂, 白冰, 杜奕衡, 李静, 胡明, 危笑, 杨奇雨, 赵铭",763674,"中国大陆, 香港",664.39638,1
头号玩家,"动作, 科幻, 冒险",8.7,史蒂文·斯皮尔伯格 Steven Spielberg,"扎克·佩恩 Zak Penn, 恩斯特·克莱恩 Ernest Cline","泰伊·谢里丹, 奥利维亚·库克, 本·门德尔森, 马克·里朗斯, 丽娜·维特, 森崎温, 赵家正, 西蒙·佩吉, T·J·米勒, 汉娜·乔恩-卡门, 拉尔夫·尹爱森, 苏珊·林奇, 克莱尔·希金斯, 劳伦斯·斯佩尔曼, 佩蒂塔·维克斯, 艾萨克·安德鲁斯",562428,美国,489.31236,1
谍影重重3,"动作, 悬疑, 惊悚",8.7,保罗·格林格拉斯 Paul Greengrass,"托尼·吉尔罗伊 Tony Gilroy, Scott Z. Burns","马特·达蒙, 朱丽娅·斯蒂尔斯, 大卫·斯特雷泽恩, 斯科特·格伦, 帕迪·康斯戴恩, 埃德加·拉米雷兹, 阿尔伯特·芬尼, 琼·艾伦, Tom Gallop, 克里·约翰逊, 丹尼尔·布鲁尔, 乔伊·安沙, 科林·斯廷顿, 丹·弗雷登堡, Lucy Liemann",211181,"美国, 德国",183.72747,1
纵横四海,"剧情, 喜剧, 动作, 犯罪",8.7,吴宇森 John Woo,"吴宇森 John Woo, 高志森 Clifton Ko, 秦小珍  Janet Chun","周润发, 张国荣, 钟楚红, 朱江, 曾江, 胡枫, 唐宁, 邓一君",178141,香港,154.98267,1
枪火,"剧情, 动作, 犯罪",8.7,杜琪峰 Johnnie To,游乃海 Nai-Hoi Yau,"吴镇宇, 任达华, 黄秋生, 吕颂贤, 张耀扬, 林雪, 王天林, 施绮莲, 高雄",112377,香港,97.76799,1
东邪西毒：终极版,"剧情, 动作, 爱情",8.7,王家卫 Kar Wai Wong,"王家卫 Kar Wai Wong, 金庸 Louis Cha","张国荣, 林青霞, 梁朝伟, 张学友, 张曼玉, 刘嘉玲, 梁家辉, 杨采妮, 白丽",103827,"香港, 中国大陆, 台湾",90.32949,1
精英部队2：大敌当前,"剧情, 动作, 犯罪, 惊悚",8.7,若泽·帕迪里亚 José Padilha,若泽·帕迪里亚 José Padilha,"瓦格纳·马拉, 安德烈·拉米罗, 米尔黑·考塔兹, 伊兰迪尔·桑托斯, 玛利亚·瑞贝罗, 索·豪黑",47668,巴西,41.47116,2
蝙蝠侠：黑暗骑士归来(下),"动作, 动画",8.7,杰伊·欧力瓦 Jay Oliva,"鲍勃·古德曼 Bob Goodman, 弗兰克·米勒 Frank Miller","彼得·威勒, 阿芮尔·温特, 迈克尔·爱默生, 迈克尔·麦基恩 Michael McKean, 马克·瓦雷 Mark Valley, 大卫·塞尔比 David Selby",17431,美国,15.16497,1
椿三十郎,"动作, 剧情, 惊悚",8.7,黑泽明,"黑泽明, 小国英雄, 菊岛隆三","三船敏郎, 仲代达矢, 加山雄三, 小林桂树, 团令子",9568,日本,8.32416,1
铁达尼号沉没记,"剧情, 动作, 历史, 爱情, 灾难",8.7,罗伯特·里伯曼 Robert Lieberman,"Ross LaManna, Joyce Eliason","彼得·盖勒, 凯瑟琳·泽塔-琼斯, 乔治·C·斯科特, 爱娃·玛丽·森特, 蒂姆·克里, 罗杰·里斯, 哈莉·简·科扎克, 玛丽露·亨纳尔, 麦克·道尔",4986,"加拿大, 美国",4.33782,3
阿凡达,"动作, 战争, 科幻, 冒险",8.6,詹姆斯·卡梅隆 James Cameron,詹姆斯·卡梅隆 James Cameron,"萨姆·沃辛顿, 佐伊·索尔达娜, 西格妮·韦弗, 史蒂芬·朗, 米歇尔·罗德里格兹, 吉奥瓦尼·瑞比西, 乔·大卫·摩尔 , 希·庞德, 韦斯·斯塔迪, 拉兹·阿隆索, 迪利普·劳, 马特·杰拉德, 肖恩·安东尼·莫兰",627942,"美国, 英国",540.03012,2
超能陆战队,"喜剧, 动作, 科幻, 动画, 冒险",8.6,"唐·霍尔 Don Hall, 克里斯·威廉姆斯 Chris Williams","乔丹·罗伯茨 Jordan Roberts, 丹尼尔·吉尔森 Daniel Gerson, 罗伯特·L·贝尔德 Robert L. Baird","斯科特·安第斯, 瑞恩·波特, 丹尼尔·海尼, T·J·米勒, 杰米·钟, 小达蒙·韦恩斯, 珍尼希斯·罗德里格兹, 詹姆斯·克伦威尔, 艾伦·图代克, 玛娅·鲁道夫, 亚布拉哈姆·本鲁比, 凯蒂·洛斯, 比利·布什, 丹尼尔·吉尔森, 保罗·布里格斯",444041,美国,381.87526,1
加勒比海盗,"动作, 冒险, 奇幻",8.6,戈尔·维宾斯基 Gore Verbinski,"泰德·艾略特 Ted Elliott, 特里·鲁西奥 Terry Rossio, 斯图尔特·贝亚蒂耶 Stuart Beattie, 杰·沃尔伯特 Jay Wolpert","约翰尼·德普, 杰弗里·拉什, 奥兰多·布鲁姆, 凯拉·奈特莉, 杰克·达文波特, 乔纳森·普雷斯",416365,美国,358.0739,1
蝙蝠侠：黑暗骑士崛起,"剧情, 动作, 科幻, 犯罪, 惊悚",8.6,克里斯托弗·诺兰 Christopher Nolan,"大卫·S·高耶 David S. Goyer, 乔纳森·诺兰 Jonathan Nolan, 克里斯托弗·诺兰 Christopher Nolan","克里斯蒂安·贝尔, 汤姆·哈迪, 安妮·海瑟薇, 约瑟夫·高登-莱维特, 玛丽昂·歌迪亚, 加里·奥德曼, 迈克尔·凯恩, 摩根·弗里曼, 朱诺·坦普尔, 乔什·平茨, 丹尼尔·逊亚塔, 内斯特·卡博内尔, 伯恩·戈曼, 连姆·尼森, 乔伊·金, 艾丹·吉伦, 基里安·墨菲, 乔什·斯图沃特, 马修·莫迪恩, 本·门德尔森",340931,"美国, 英国",293.20066,1
东邪西毒,"剧情, 动作, 爱情, 武侠, 古装",8.6,王家卫 Kar Wai Wong,"王家卫 Kar Wai Wong, 金庸 Louis Cha","张国荣, 林青霞, 梁朝伟, 张学友, 张曼玉, 刘嘉玲, 梁家辉, 杨采妮, 邹兆龙",295905,"香港, 台湾",254.4783,1
被解救的姜戈,"剧情, 动作, 西部, 冒险",8.6,昆汀·塔伦蒂诺 Quentin Tarantino,昆汀·塔伦蒂诺 Quentin Tarantino,"杰米·福克斯, 莱昂纳多·迪卡普里奥, 克里斯托弗·沃尔兹, 塞缪尔·杰克逊, 凯丽·华盛顿, 沃尔顿·戈金斯, 丹尼斯·克里斯托弗, 乔纳·希尔, 詹姆斯·瑞马尔, 爱波·塔布琳, 弗兰科·内罗, 罗伯特·卡拉丁, 佐伊·贝尔",295848,美国,254.42928,2
英雄本色,"动作, 犯罪",8.6,吴宇森 John Woo,"陈庆嘉 Hing-Ka Chan, 吴宇森 John Woo, 梁淑华 Suk-Wah Leung","周润发, 狄龙, 张国荣, 朱宝意, 李子雄, 田丰, 吴宇森, 曾江, 成奎安, 徐克, 陈志辉",209387,香港,180.07282,1
谍影重重2,"动作, 悬疑, 惊悚",8.6,保罗·格林格拉斯 Paul Greengrass,"罗伯特·鲁德鲁姆 Robert Ludlum, 托尼·吉尔罗伊 Tony Gilroy","马特·达蒙, 弗朗卡·波滕特, 布莱恩·考克斯, 朱丽娅·斯蒂尔斯, 卡尔·厄本, 琼·艾伦, 加布里埃尔·曼, 马尔顿·索克斯, 约翰·贝德福德·劳埃德, 伊桑·桑德勒, 米歇尔·莫纳汉, 卡瑞尔·罗登, 托马斯·阿拉纳, 奥莎娜·阿金什那, 汤姆·加洛普",182858,"美国, 德国",157.25788,1
黑客帝国3：矩阵革命,"动作, 科幻",8.6,"Andy Wachowski, Larry Wachowski","Andy Wachowski, Larry Wachowski","基努·里维斯, 劳伦斯·菲什伯恩, 凯瑞-安·莫斯, 莫妮卡·贝鲁奇, 凯特·宾汉, 雨果·维文, 贾达·萍克·史密斯, 邹兆龙, 朗贝尔·维尔森",181177,"美国, 澳大利亚",155.81222,1
终结者2：审判日,"动作, 科幻",8.6,詹姆斯·卡梅隆 James Cameron,"詹姆斯·卡梅隆 James Cameron, William Wisher Jr.","阿诺·施瓦辛格, 琳达·汉密尔顿, 爱德华·福隆, 罗伯特·帕特里克, 阿尔·伯恩, 乔·莫顿, 埃帕莎·默克森, 卡斯图罗·格雷拉, 丹尼·库克塞, 詹妮特·戈德斯坦恩, 山德·贝克利, 莱思莉·汉密尔顿·格伦",160976,"美国, 法国",138.43936,3
勇闯夺命岛,"动作, 冒险",8.6,迈克尔·贝 Michael Bay,"大卫·韦斯伯格 David Weisberg, 道格拉斯·库克 Douglas Cook","肖恩·康纳利, 尼古拉斯·凯奇, 艾德·哈里斯, 约翰·斯宾塞, 大卫·摩斯, 威廉·弗西斯, 迈克尔·比恩, 瓦内萨·马赛尔, 约翰·C·麦金雷, 托尼·托德, 博基姆·伍德拜因, 格雷格·科林斯, 布伦丹·凯利, 史蒂夫·哈里斯, 吉姆·卡维泽",158124,美国,135.98664,1
黑鹰坠落,"动作, 历史, 战争",8.6,雷德利·斯科特 Ridley Scott,"Ken Nolan, Mark Bowden","乔什·哈奈特, 伊万·麦克格雷格, 汤姆·塞兹摩尔, 金·寇兹, 艾文·布莱纳, 艾瑞克·巴纳, 休·丹西, 威廉·菲德内尔, 奥兰多·布鲁姆, 汤姆·哈迪, 詹森·艾萨克",134864,美国,115.98304,3
恶童,"动画, 动作, 冒险, 犯罪",8.6,迈克尔·艾里亚斯 Michael Arias,"Anthony Weintraub, 松本大洋","二宫和也, 苍井优, 伊势谷友介, 宫藤官九郎, 大森南朋",50861,日本,43.74046,1
宾虚,"剧情, 动作, 历史, 战争, 冒险",8.6,威廉·惠勒 William Wyler,"卡尔·顿伯格 Karl Tunberg, Lew Wallace","查尔登·海斯顿, 杰克·霍金斯, 哈雅·哈拉里特, 史蒂芬·博伊德, 休·格里夫斯, 玛莎·斯考特, 凯茜·奥唐内, 山姆·谢斐, 芬利·柯里, 安德鲁·莫瑞尔",20885,美国,17.9611,4
敲开天堂的门,"动作, 犯罪, 喜剧, 剧情",8.6,托马斯·雅恩 Thomas Jahn,"托马斯·雅恩 Thomas Jahn, 蒂尔·施威格 Til Schweiger","蒂尔·施威格, 扬·约瑟夫·利费斯, 蒂埃里·范·维凡客, 莫里兹·布雷多, 休伯·史塔普, Leonard Lansink, Ralph Herforth, 科奈莉亚·弗洛波伊斯, 鲁特格尔·哈尔, Willi Thomczyk, 克里斯蒂安娜·保罗, 汉恩斯·詹尼可, Vladimir Weigl, 珍妮·爱娃-艾瓦仓庚, 科琳娜·哈弗奇",10059,德国,8.65074,1
西线无战事,"剧情, 动作, 历史, 战争",8.6,刘易斯·迈尔斯通 Lewis Milestone,"埃里希·玛利亚·雷马克 Erich Maria Remarque, 马克斯韦尔·安德森 Maxwell Anderson, 乔治·艾博特 George Abbott, Del Andrews, C. Gardner Sullivan","路易斯·沃海姆, 刘·艾尔斯, 约翰·雷, 阿诺德·露西, 本·亚历山大, 斯科特·寇克, 小欧文·戴维斯, 沃尔特·罗杰斯, 威廉·贝克韦尔, 拉塞尔·格里森, 理查德·亚历山大, 哈罗德·古德温, 斯利姆·萨默维尔, G·帕特·柯林斯, 贝丽尔·默瑟",8361,美国,7.19046,6
大菩萨岭,"动作, 剧情",8.6,冈本喜八,桥本忍,"仲代达矢, 新珠三千代, 内藤洋子, 加山雄三, 三船敏郎",5928,日本,5.09808,1
碧血金沙,"冒险, 剧情, 西部, 动作",8.6,John Huston,John Huston,"亨弗莱·鲍嘉, 沃尔特·休斯顿, 提姆·霍尔特, 布鲁斯·班尼特, 巴顿·麦克莱恩",4467,美国,3.84162,1
落叶,"动画, 动作, 冒险, 喜剧, 科幻",8.6,今石洋之,本田武市,"山口胜平, 本田贵子, 水谷优子, 飞田展男, 高木渉, 岩田光央, 梁田清之",4213,日本,3.62318,1
疯狂的麦克斯4：狂暴之路,"动作, 科幻, 冒险",8.5,乔治·米勒 George Miller,"乔治·米勒 George Miller, Brendan McCarthy, Nick Lathouris","汤姆·哈迪, 查理兹·塞隆, 尼古拉斯·霍尔特, 休·基斯-拜恩, 乔什·赫尔曼, 内森·琼斯, 佐伊·克罗维兹, 罗茜·汉丁顿-惠特莉, 丽莉·克亚芙, 阿比·丽, 考特尼·伊顿, 安格斯·桑普森, 理查德·卡特, 梅根·盖尔, 肖恩·哈普",233052,"澳大利亚, 美国",198.0942,1
谍影重重,"动作, 悬疑, 惊悚",8.5,道格·里曼 Doug Liman,"托尼·吉尔罗伊 Tony Gilroy, 罗伯特·鲁德鲁姆 Robert Ludlum, W. Blake Herron","马特·达蒙, 弗朗卡·波滕特, 克里斯·库珀, 克里夫·欧文, 朱丽娅·斯蒂尔斯, 布莱恩·考克斯, 阿德沃尔·阿吉纽依-艾格拜吉, 加布里埃尔·曼, 沃尔顿·戈金斯, 约什·汉密尔顿, Orso Maria Guerrini",220215,"美国, 德国, 捷克",187.18275,1
新龙门客栈,"剧情, 动作, 武侠, 古装",8.5,李惠民 Raymond Lee,"徐克 Hark Tsui, 张炭 Cheung Tan, 吕晓禾 Xiaohe Lü, 司徒慧焯 Roy Szeto, 何冀平 Jiping He, 苏叔阳 Shuyang Su","张曼玉, 林青霞, 梁家辉, 甄子丹, 熊欣欣, 刘洵, 任世官, 吴启华, 袁祥仁, 徐锦江, 郑希怡, 王彤川, 王伟顺, 蔡浩",213188,"香港, 中国大陆",181.2098,3
小萝莉的猴神大叔,"剧情, 喜剧, 动作",8.5,卡比尔·汗 Kabir Khan,"卡比尔·汗 Kabir Khan, 维杰耶德拉·普拉萨德 Vijayendra Prasad","萨尔曼·汗, 哈莎莉·马洛特拉, 卡琳娜·卡普尔, 纳瓦祖丁·席迪圭, 欧姆·普瑞, 梅·维贾, 席尔帕.舒克拉, 拉什·沙玛, 沙拉蒂·瑟斯纳, 阿图·斯里瓦斯塔瓦, 阿德南·萨米, 马诺·巴克什",201883,印度,171.60055,2
启示,"动作, 冒险, 剧情",8.5,梅尔·吉布森 Mel Gibson,"梅尔·吉布森 Mel Gibson, 法尔哈德·撒夫尼亚 Farhad Safinia","鲁迪·杨布拉德, 达利娅·埃尔南德斯, 乔纳森·布雷维尔, 莫里斯·博德耶洛海德, 劳尔·特鲁希洛, 赫拉多·塔拉塞纳, 卡洛斯·伊米里奥·巴厄兹, 阿米尔卡尔·拉米瑞兹, 伊斯雷尔·康特雷拉斯, 伊斯雷尔·里奥斯, 玛利亚·迪亚兹, 埃斯皮里迪恩·阿科斯塔·卡奇, 梅拉·萨布罗, 伊阿祖娅·拉里奥斯, 艾贝尔·伍尔里奇",49845,美国,42.36825,1
蜘蛛巢城,"动作, 剧情, 奇幻, 惊悚, 战争",8.5,黑泽明,"黑泽明, 小国英雄, 菊岛隆三, 桥本忍, 威廉·莎士比亚 William Shakespeare","三船敏郎, 山田五十铃, 志村乔, 千秋实",10220,日本,8.687,1
侠女,"剧情, 动作, 武侠, 古装",8.5,胡金铨 King Hu,"胡金铨 King Hu, 蒲松龄 Songling Pu","徐枫, 石隽, 白鹰, 田鹏, 曹健, 苗天, 张冰玉, 薛汉, 乔宏",9853,"台湾, 香港",8.37505,2
午夜狂奔,"动作, 冒险, 喜剧, 犯罪, 惊悚",8.5,Martin Brest,George Gallo,"罗伯特·德尼罗, 查尔斯·格罗丁, 亚非特·科托",9414,美国,8.0019,1
兽兵卫忍风帖,"动画, 动作, 冒险, 奇幻, 惊悚",8.5,川尻善昭 Yoshiaki Kawajiri,川尻善昭 Yoshiaki Kawajiri,"山寺宏一, 筱原惠美, 青野武, 关俊彦, 乡里大辅",5449,日本,4.63165,1
盗信情缘,"犯罪, 剧情, 动作, 喜剧",8.5,萨布,萨布,"堤真一, 远山景织子, 堀部圭亮, 大杉涟, 平泉成",3857,日本,3.27845,1
死亡的游戏,动作,8.5,大串利一,李小龙 Bruce Lee,"李小龙, 田俊, 解元, 伊鲁山度, 池汉载, 卡里姆·阿卜杜尔-贾巴尔",2274,"日本, 香港",1.9329,1
通往自由的通道,"动作, 剧情, 历史, 惊悚",8.5,罗兰·苏素·里希特 Roland Suso Richter,Johannes W. Betz,"海诺·费尔希, 尼科莱特·克雷比茨, 塞巴斯蒂安·科赫, 亚历山德拉·玛丽亚·拉娜, 克劳迪亚·米歇尔森, 菲力克斯·伊特纳, 穆罕默德·库尔图卢斯",1732,德国,1.4722,4
笔中情,"动作, 爱情, 古装",8.5,颜碧丽,蒋迅,"迟重瑞, 王伯昭, 张闽, 赵静, 朱碧云",1260,中国大陆,1.071,0
王牌特工：特工学院,"喜剧, 动作, 冒险",8.4,马修·沃恩 Matthew Vaughn,"简·古德曼 Jane Goldman, 马修·沃恩 Matthew Vaughn, 马克·米勒 Mark Millar, 戴夫·吉布森 Dave Gibbons","塔伦·埃格顿, 科林·费尔斯, 塞缪尔·杰克逊, 迈克尔·凯恩, 马克·斯特朗, 索菲·库克森, 索菲亚·波多拉, 马克·哈米尔, 杰克·达文波特, 萨曼塔·沃马克, 汉娜·奥斯特罗姆, 约诺·戴维斯, 亚历克斯·尼科洛夫, 维利贝·托皮奇, 杰夫·贝尔, 艾德里安·奎因顿, 乔丹·朗, 西奥·巴克利姆比格斯, 摩根·华金斯, 拉尔夫·尹爱森, 爱德华·霍尔克罗夫特, 尼古拉斯·班克斯",387350,"英国, 美国",325.374,2
变脸,"动作, 科幻, 犯罪, 惊悚",8.4,吴宇森 John Woo,"麦克·韦柏 Mike Werb, 迈克尔·科拉里 Michael Colleary","约翰·特拉沃尔塔, 尼古拉斯·凯奇, 琼·艾伦, 亚历桑德罗·尼沃拉, 吉娜·格申, 多米尼克·斯万, 尼克·卡萨维茨, 哈威·普雷斯内尔, 科鲁姆·费奥瑞, 约翰·卡洛·林奇, 希·庞德, 罗伯特·维斯多姆, 赵牡丹, 詹姆斯·丹顿, 马特·罗斯, 克里斯·鲍尔, 迈尔斯·杰弗里, 大卫·麦克库利, 托马斯·简, 汤米·弗拉纳根, 达纳·史密斯, 罗密·温莎, 保罗?希普, 柯克·鲍兹, 劳伦·辛克莱尔, 本·里德, 丽莎·博伊尔, 琳达·霍夫曼, 丹尼·马斯特森, 迈克尔·罗查, 麦克·韦柏, 梅根·保罗, 诺姆·卡普顿",238169,美国,200.06196,1
