title,types,score,drector,writer,actor,account,country,label,flim_version
青春失乐园,"剧情, 喜剧, 歌舞",3.9,管晓杰 Einstein,管晓杰 Einstein,"赵奕欢, 王一, 莫熙儿, 王紫潼, 田晓天, 宋丹, 杨睿嘉, 秦汉擂, 梁庭瑜, 袁乙心, 李红陶, 程紫城, 游艺湉, 谢容儿, 杨宜慧",16013,中国大陆,6.24507,1
青禾男高,剧情,3.9,蒋卓原 Zhuoyuan Jiang,蒋卓原 Zhuoyuan Jiang,"景甜, 欧豪, 黑木美沙, 林遣都, 张宁江, 尹昉, 周游, 丁冠森, 夏恩, 姜宗远, 中岛广稀, 刘德凯, 荫山征彦, 木幡龙, 李方丁, 大谷主水, 清水泰地, 蔡玮伦, 潘怡安, 木地雅茂",13774,"中国大陆, 台湾",5.37186,1
古惑仔：江湖新秩序,"剧情, 动作, 犯罪",3.9,陈翊恒 Daniel Chan Yee-Heng,文隽 Manfred Wong,"罗仲谦, 伍允龙, 黄贯中, 梁烈唯, 沈震轩, 林子善, 胡然, 单立文, 万梓良, 何浩文, 雷宇扬, 洪天明, 林盛斌, 梁敏仪",5321,香港,2.07519,2
夏日恋神马,"剧情, 喜剧, 爱情",3.9,钱国伟,贺鑫 Lily He,"方力申, 江若琳, 敖犬, 张馨予",3545,香港,1.38255,1
钢刀,"剧情, 动作",3.9,阿甘 Ah Gan,阿甘 Ah Gan,"何润东, 李东学, 夏梓桐, 杨奇鸣, 田沅, 赫子铭, 宋宁峰, 王往, 黄天元",3049,中国大陆,1.18911,1
神通乡巴佬,"剧情, 喜剧, 爱情",3.9,皮建鑫 Jianxin Pi,"马志全 Zhiquan Ma, 林蔓儒 Man-ru Lin","王宝强, 曾志伟, 曹议文, 葛蕾",2718,中国大陆,1.06002,1
凶手还未睡,"剧情, 悬疑, 惊悚",3.9,邱礼涛 Herman Yau,"李敏 Erica Lee, 阿图说力","文咏珊, 许志安, 林家栋, 刘浩龙, 蔡洁, 余安安, 陈意岚, 陈伟雄",2385,香港,0.93015,1
战国,"剧情, 动作, 爱情, 战争, 悬疑, 古装",3.8,金琛 Chen Jin,申捷,"孙红雷, 景甜, 金喜善, 吴镇宇, 中井贵一, 姜武, 冯恩鹤, 黄海冰, 廖京生, 雪村, 郭德纲, 徐娇, 何云伟, 方子哥, 李子雄, 熊欣欣, 马精武, 雷恪生, 吴军",32960,中国大陆,12.5248,1
京城81号2,"剧情, 悬疑, 惊悚",3.8,钱人豪 Jen-hao Chie,"谭广源 Frankie Tam, 蔡骏 Jun Cai, 黄慧惠 Huihui Huang","张智霖, 梅婷, 钟欣潼, 耿乐, 邬君梅, 王水林, 陈冲, 高捷, 林雪, 连凯, 万国鹏, 披拉·尼迪裴善官",19817,中国大陆,7.53046,1
奔爱,"剧情, 爱情",3.8,"张一白 Yibai Zhang, 管虎 Hu Guan, 张猛 Meng Zhang, 滕华涛 Hua-Tao Teng, 高群书 Qunshu Gao","崔斯坦 Sitan Cui, 潘彧 Yu Pan, 管虎 Hu Guan, 刘雅 Keyra Liu, 鲍鲸鲸 Jingjing Bao, 顾小白 Xiaobai Gu, 高群书 Qunshu Gao","章子怡, 彭于晏, 佟丽娅, 周冬雨, 梁静, 张译, 吴莫愁, 王千源, 陈妍希, 塞巴斯蒂安·斯蒂加尔",19344,中国大陆,7.35072,1
